"Date","Time, GMT+11:00","Temp, °C (LGR S/N: 9832563, SEN S/N: 9818213, LBL: Ambient)","RH, % (LGR S/N: 9832563, SEN S/N: 9818213)","DewPt, °C (LGR S/N: 9832563, SEN S/N: 9818213)","Temp, °C (LGR S/N: 9832563, SEN S/N: 9824750, LBL: 3cmBG)","Water Content, m³/m³ (LGR S/N: 9832563, SEN S/N: 9827499, LBL: 5cmBG)","Water Content, m³/m³ (LGR S/N: 9832563, SEN S/N: 9833754, LBL: 10cmBG)"
24/10/2013,13:11:31,7.041,87.700,5.1,7.645,0.2879,0.2923
24/10/2013,14:11:32,6.153,82.000,3.3,8.767,0.2879,0.2915
24/10/2013,15:11:33,5.411,75.000,1.3,9.213,0.2872,0.2908
24/10/2013,16:11:34,4.194,72.400,-0.3,9.386,0.2872,0.2901
24/10/2013,17:11:35,3.617,71.500,-1.0,9.089,0.2865,0.2886
24/10/2013,18:11:36,0.962,76.900,-2.6,8.344,0.2850,0.2872
24/10/2013,19:11:37,-0.423,82.500,-3.0,7.116,0.2843,0.2850
24/10/2013,20:11:38,-1.043,88.000,-2.8,5.949,0.2828,0.2843
24/10/2013,21:11:39,-1.413,89.800,-2.9,5.076,0.2821,0.2836
24/10/2013,22:11:40,-1.756,90.500,-3.1,4.454,0.2814,0.2828
24/10/2013,23:11:41,-1.699,90.800,-3.0,3.985,0.2806,0.2821
25/10/2013,00:11:42,-2.305,91.900,-3.4,3.643,0.2799,0.2814
25/10/2013,01:11:43,-2.450,92.600,-3.5,3.354,0.2814,0.2821
25/10/2013,02:11:44,-2.654,93.300,-3.6,3.142,0.2821,0.2821
25/10/2013,03:11:45,-2.947,91.200,-4.2,2.930,0.2814,0.2821
25/10/2013,04:11:46,-3.006,89.400,-4.5,2.744,0.2814,0.2821
25/10/2013,05:11:47,-2.654,82.500,-5.2,2.584,0.2814,0.2814
25/10/2013,06:11:48,-2.392,78.000,-5.7,2.396,0.2806,0.2806
25/10/2013,07:11:49,-0.958,73.300,-5.1,2.236,0.2799,0.2799
25/10/2013,08:11:50,2.074,71.300,-2.6,2.128,0.2763,0.2763
25/10/2013,09:11:51,4.921,66.500,-0.8,2.101,0.2756,0.2756
25/10/2013,10:11:52,7.091,63.700,0.7,2.690,0.2748,0.2756
25/10/2013,11:11:53,9.213,61.400,2.2,4.662,0.2748,0.2763
25/10/2013,12:11:54,9.706,64.500,3.3,7.142,0.2748,0.2770
25/10/2013,13:11:55,10.026,63.200,3.4,9.040,0.2748,0.2777
25/10/2013,14:11:56,9.952,66.200,3.9,9.534,0.2756,0.2777
25/10/2013,15:11:57,4.506,71.200,-0.3,9.435,0.2763,0.2777
25/10/2013,16:11:58,3.775,80.500,0.7,8.543,0.2756,0.2763
25/10/2013,17:11:59,3.670,83.200,1.1,7.820,0.2748,0.2756
25/10/2013,18:12:00,2.423,85.300,0.2,7.343,0.2748,0.2748
25/10/2013,19:12:01,1.670,89.500,0.1,6.661,0.2741,0.2741
25/10/2013,20:12:02,0.412,92.600,-0.6,6.000,0.2741,0.2734
25/10/2013,21:12:03,0.715,94.600,-0.1,5.360,0.2734,0.2727
25/10/2013,22:12:04,0.852,95.500,0.2,4.973,0.2734,0.2727
25/10/2013,23:12:05,0.605,96.200,0.1,4.662,0.2727,0.2727
26/10/2013,00:12:06,0.550,97.200,0.2,4.376,0.2719,0.2719
26/10/2013,01:12:07,0.522,98.700,0.3,4.168,0.2719,0.2712
26/10/2013,02:12:08,0.135,99.100,0.0,3.985,0.2719,0.2712
26/10/2013,03:12:09,-0.479,98.900,-0.6,3.749,0.2712,0.2705
26/10/2013,04:12:10,-1.071,97.800,-1.4,3.459,0.2712,0.2705
26/10/2013,05:12:11,-1.413,97.900,-1.7,3.168,0.2712,0.2705
26/10/2013,06:12:12,-1.441,97.400,-1.8,2.956,0.2705,0.2698
26/10/2013,07:12:13,0.852,94.500,0.1,2.770,0.2698,0.2690
26/10/2013,08:12:14,4.558,85.500,2.3,2.770,0.2698,0.2683
26/10/2013,09:12:15,7.895,71.300,3.0,3.564,0.2698,0.2690
26/10/2013,10:12:16,11.589,57.800,3.6,5.462,0.2698,0.2690
26/10/2013,11:12:17,13.906,52.200,4.3,7.293,0.2698,0.2698
26/10/2013,12:12:18,15.700,54.800,6.6,9.706,0.2698,0.2698
26/10/2013,13:12:19,17.938,54.800,8.7,11.467,0.2698,0.2698
26/10/2013,14:12:20,14.050,49.600,3.7,12.582,0.2705,0.2705
26/10/2013,15:12:21,15.891,55.500,7.0,12.847,0.2712,0.2698
26/10/2013,16:12:22,12.171,56.200,3.7,12.799,0.2712,0.2698
26/10/2013,17:12:23,7.695,69.900,2.6,12.122,0.2705,0.2683
26/10/2013,18:12:24,6.102,76.700,2.3,10.883,0.2705,0.2676
26/10/2013,19:12:25,3.985,83.700,1.5,9.731,0.2698,0.2661
26/10/2013,20:12:26,2.343,91.500,1.1,8.668,0.2690,0.2654
26/10/2013,21:12:27,1.044,90.300,-0.4,7.720,0.2690,0.2647
26/10/2013,22:12:28,-0.535,89.800,-2.0,6.940,0.2683,0.2647
26/10/2013,23:12:29,-2.537,85.400,-4.7,6.153,0.2683,0.2639
27/10/2013,00:12:30,-2.479,88.100,-4.2,5.411,0.2676,0.2632
27/10/2013,01:12:31,-2.334,91.100,-3.6,4.844,0.2676,0.2632
27/10/2013,02:12:32,-3.212,87.900,-4.9,4.402,0.2668,0.2625
27/10/2013,03:12:33,-3.508,86.600,-5.4,3.985,0.2668,0.2625
27/10/2013,04:12:34,-4.560,84.200,-6.8,3.591,0.2668,0.2639
27/10/2013,05:12:35,-4.987,83.600,-7.3,3.248,0.2676,0.2632
27/10/2013,06:12:36,-4.957,83.800,-7.3,2.956,0.2668,0.2632
27/10/2013,07:12:37,-0.395,92.500,-1.5,2.690,0.2668,0.2618
27/10/2013,08:12:38,5.796,85.600,3.6,2.584,0.2647,0.2603
27/10/2013,09:12:39,13.257,59.500,5.6,3.670,0.2647,0.2603
27/10/2013,10:12:40,17.011,47.600,5.8,6.102,0.2647,0.2610
27/10/2013,11:12:41,21.032,42.900,8.0,8.469,0.2654,0.2618
27/10/2013,12:12:42,17.843,47.100,6.4,11.540,0.2661,0.2632
27/10/2013,13:12:43,15.557,56.000,6.8,11.686,0.2668,0.2625
27/10/2013,14:12:44,13.016,60.900,5.7,10.932,0.2668,0.2625
27/10/2013,15:12:45,10.051,66.800,4.2,10.394,0.2661,0.2618
27/10/2013,16:12:46,15.414,70.700,10.1,9.780,0.2661,0.2610
27/10/2013,17:12:47,14.673,59.700,6.9,10.198,0.2668,0.2610
27/10/2013,18:12:48,8.990,69.700,3.8,10.320,0.2661,0.2610
27/10/2013,19:12:49,6.914,83.400,4.3,9.583,0.2661,0.2603
27/10/2013,20:12:50,4.714,89.400,3.1,8.792,0.2654,0.2596
27/10/2013,21:12:51,4.141,91.200,2.8,8.020,0.2654,0.2589
27/10/2013,22:12:52,2.423,90.300,1.0,7.444,0.2647,0.2581
27/10/2013,23:12:53,3.116,95.400,2.5,6.864,0.2647,0.2574
28/10/2013,00:12:54,2.530,95.300,1.9,6.509,0.2639,0.2574
28/10/2013,01:12:55,2.557,96.400,2.0,6.153,0.2639,0.2567
28/10/2013,02:12:56,2.823,96.600,2.3,5.924,0.2639,0.2567
28/10/2013,03:12:57,2.155,96.200,1.6,5.770,0.2639,0.2567
28/10/2013,04:12:58,2.503,98.400,2.3,5.488,0.2632,0.2560
28/10/2013,05:12:59,2.450,98.200,2.2,5.257,0.2632,0.2560
28/10/2013,06:13:00,2.289,98.000,2.0,5.076,0.2632,0.2560
28/10/2013,07:13:01,3.932,97.600,3.6,4.999,0.2632,0.2560
28/10/2013,08:13:02,5.668,92.700,4.6,5.282,0.2632,0.2560
28/10/2013,09:13:03,10.980,78.700,7.4,5.898,0.2632,0.2560
28/10/2013,10:13:04,9.312,70.800,4.3,7.192,0.2632,0.2560
28/10/2013,11:13:05,9.089,73.700,4.7,7.820,0.2632,0.2567
28/10/2013,12:13:06,5.385,93.600,4.4,8.020,0.2610,0.2552
28/10/2013,13:13:07,8.866,98.200,8.6,7.695,0.2610,0.2545
28/10/2013,14:13:08,10.883,89.700,9.3,8.717,0.2618,0.2560
28/10/2013,15:13:09,17.344,74.300,12.7,10.320,0.2625,0.2581
28/10/2013,16:13:10,18.081,62.800,10.9,11.953,0.2625,0.2589
28/10/2013,17:13:11,15.079,65.200,8.6,12.413,0.2632,0.2581
28/10/2013,18:13:12,11.710,66.100,5.6,11.565,0.2632,0.2574
28/10/2013,19:13:13,8.990,75.200,4.8,10.712,0.2632,0.2567
28/10/2013,20:13:14,7.469,85.700,5.2,9.903,0.2625,0.2560
28/10/2013,21:13:15,5.539,89.700,4.0,9.188,0.2625,0.2552
28/10/2013,22:13:16,5.102,93.800,4.2,8.444,0.2618,0.2545
28/10/2013,23:13:17,4.921,95.600,4.3,7.895,0.2618,0.2545
29/10/2013,00:13:18,4.532,96.100,4.0,7.444,0.2610,0.2545
29/10/2013,01:13:19,5.462,99.500,5.4,7.167,0.2610,0.2538
29/10/2013,02:13:20,4.973,99.800,4.9,7.116,0.2610,0.2545
29/10/2013,03:13:21,4.558,99.900,4.5,6.965,0.2610,0.2545
29/10/2013,04:13:22,4.558,100.000,4.6,6.788,0.2610,0.2538
29/10/2013,05:13:23,4.220,100.000,4.2,6.611,0.2603,0.2538
29/10/2013,06:13:24,3.880,100.000,3.9,6.433,0.2603,0.2538
29/10/2013,07:13:25,3.643,100.000,3.6,6.255,0.2603,0.2538
29/10/2013,08:13:26,3.985,99.900,4.0,6.128,0.2603,0.2538
29/10/2013,09:13:27,5.488,99.600,5.4,6.204,0.2603,0.2538
29/10/2013,10:13:28,7.569,97.400,7.2,6.636,0.2603,0.2538
29/10/2013,11:13:29,10.394,90.700,9.0,7.594,0.2603,0.2545
29/10/2013,12:13:30,15.796,75.800,11.6,9.188,0.2603,0.2552
29/10/2013,13:13:31,20.436,59.100,12.2,12.074,0.2603,0.2552
29/10/2013,14:13:32,21.676,48.100,10.2,14.050,0.2610,0.2574
29/10/2013,15:13:33,20.412,48.400,9.2,15.318,0.2618,0.2567
29/10/2013,16:13:34,19.888,46.500,8.1,15.939,0.2618,0.2560
29/10/2013,17:13:35,16.249,48.100,5.3,15.629,0.2618,0.2545
29/10/2013,18:13:36,12.025,53.000,2.8,14.385,0.2618,0.2523
29/10/2013,19:13:37,5.539,67.300,-0.0,13.137,0.2610,0.2509
29/10/2013,20:13:38,2.503,83.200,-0.1,11.516,0.2603,0.2501
29/10/2013,21:13:39,2.584,91.500,1.3,10.026,0.2596,0.2487
29/10/2013,22:13:40,2.370,93.000,1.4,9.064,0.2589,0.2487
29/10/2013,23:13:41,1.886,93.700,1.0,8.394,0.2581,0.2480
30/10/2013,00:13:42,0.632,94.000,-0.2,7.795,0.2581,0.2480
30/10/2013,01:13:43,-0.479,93.000,-1.5,7.116,0.2581,0.2472
30/10/2013,02:13:44,-2.392,86.000,-4.4,6.357,0.2574,0.2472
30/10/2013,03:13:45,-2.742,84.500,-5.0,5.642,0.2574,0.2465
30/10/2013,04:13:46,-3.896,83.000,-6.4,4.999,0.2574,0.2465
30/10/2013,05:13:47,-4.469,82.700,-7.0,4.454,0.2567,0.2465
30/10/2013,06:13:48,-3.986,83.000,-6.5,3.985,0.2567,0.2465
30/10/2013,07:13:49,0.742,89.300,-0.8,3.670,0.2560,0.2451
30/10/2013,08:13:50,8.941,67.000,3.2,3.906,0.2552,0.2451
30/10/2013,09:13:51,14.792,45.600,3.2,5.360,0.2552,0.2451
30/10/2013,10:13:52,19.888,42.000,6.6,7.970,0.2552,0.2458
30/10/2013,11:13:53,19.103,35.600,3.5,10.271,0.2560,0.2458
30/10/2013,12:13:54,19.151,38.400,4.7,13.016,0.2560,0.2458
30/10/2013,13:13:55,21.008,35.500,5.2,14.888,0.2560,0.2458
30/10/2013,14:13:56,22.537,35.200,6.4,15.963,0.2560,0.2465
30/10/2013,15:13:57,22.417,36.200,6.7,16.987,0.2560,0.2458
30/10/2013,16:13:58,19.817,40.100,5.9,17.344,0.2567,0.2451
30/10/2013,17:13:59,17.748,42.800,5.0,16.820,0.2560,0.2429
30/10/2013,18:14:00,13.449,49.800,3.2,15.509,0.2552,0.2414
30/10/2013,19:14:01,11.053,60.700,3.8,14.242,0.2552,0.2392
30/10/2013,20:14:02,6.408,75.400,2.4,13.064,0.2545,0.2385
30/10/2013,21:14:03,2.155,79.500,-1.0,11.686,0.2545,0.2378
30/10/2013,22:14:04,0.467,82.300,-2.2,10.369,0.2538,0.2363
30/10/2013,23:14:05,-1.185,81.800,-3.9,9.238,0.2523,0.2363
31/10/2013,00:14:06,-2.073,83.300,-4.5,8.245,0.2523,0.2356
31/10/2013,01:14:07,0.384,87.800,-1.4,7.419,0.2523,0.2349
31/10/2013,02:14:08,2.477,97.200,2.1,7.091,0.2523,0.2349
31/10/2013,03:14:09,-0.060,93.600,-1.0,6.889,0.2516,0.2349
31/10/2013,04:14:10,-1.958,88.500,-3.6,6.331,0.2516,0.2342
31/10/2013,05:14:11,-2.888,87.300,-4.7,5.770,0.2516,0.2342
31/10/2013,06:14:12,-2.537,90.100,-3.9,5.231,0.2516,0.2342
31/10/2013,07:14:13,2.877,97.000,2.4,4.947,0.2516,0.2334
31/10/2013,08:14:14,9.583,84.600,7.1,5.360,0.2516,0.2334
31/10/2013,09:14:15,14.816,53.000,5.3,6.560,0.2516,0.2342
31/10/2013,10:14:16,17.439,43.000,4.7,8.767,0.2516,0.2342
31/10/2013,11:14:17,20.055,40.900,6.4,10.736,0.2516,0.2342
31/10/2013,12:14:18,20.650,43.400,7.8,13.666,0.2509,0.2349
31/10/2013,13:14:19,30.167,44.400,16.7,15.891,0.2509,0.2349
31/10/2013,14:14:20,27.308,42.600,13.5,17.320,0.2516,0.2356
31/10/2013,15:14:21,21.390,46.400,9.4,17.653,0.2516,0.2349
31/10/2013,16:14:22,15.031,62.000,7.8,16.677,0.2523,0.2334
31/10/2013,17:14:23,13.401,70.400,8.1,15.247,0.2523,0.2320
31/10/2013,18:14:24,11.516,74.500,7.2,14.146,0.2516,0.2313
31/10/2013,19:14:25,9.928,73.900,5.5,13.305,0.2516,0.2305
31/10/2013,20:14:26,5.257,80.700,2.2,12.292,0.2516,0.2298
31/10/2013,21:14:27,2.450,83.700,-0.0,11.029,0.2509,0.2284
31/10/2013,22:14:28,1.153,84.100,-1.2,9.928,0.2501,0.2276
31/10/2013,23:14:29,0.522,85.500,-1.6,9.040,0.2494,0.2276
01/11/2013,00:14:30,0.079,86.900,-1.8,8.319,0.2494,0.2269
01/11/2013,01:14:31,0.163,89.100,-1.4,7.695,0.2487,0.2262
01/11/2013,02:14:32,0.051,90.000,-1.4,7.217,0.2487,0.2269
01/11/2013,03:14:33,-0.591,89.100,-2.2,6.788,0.2487,0.2269
01/11/2013,04:14:34,0.190,92.100,-0.9,6.357,0.2480,0.2262
01/11/2013,05:14:35,1.994,96.800,1.5,6.102,0.2480,0.2262
01/11/2013,06:14:36,3.485,98.900,3.3,6.102,0.2480,0.2262
01/11/2013,07:14:37,6.712,99.200,6.6,6.204,0.2480,0.2254
01/11/2013,08:14:38,11.053,88.400,9.2,6.661,0.2487,0.2262
01/11/2013,09:14:39,14.745,71.900,9.7,7.745,0.2487,0.2269
01/11/2013,10:14:40,18.224,63.000,11.1,9.534,0.2487,0.2269
01/11/2013,11:14:41,19.651,57.600,11.1,11.248,0.2480,0.2269
01/11/2013,12:14:42,21.008,52.500,10.9,13.834,0.2480,0.2269
01/11/2013,13:14:43,22.441,49.100,11.2,15.581,0.2480,0.2269
01/11/2013,14:14:44,23.737,44.200,10.8,16.606,0.2472,0.2276
01/11/2013,15:14:45,22.705,42.700,9.4,17.463,0.2480,0.2262
01/11/2013,16:14:46,21.151,43.000,8.1,17.772,0.2480,0.2247
01/11/2013,17:14:47,18.604,45.700,6.7,17.225,0.2472,0.2218
01/11/2013,18:14:48,14.960,50.600,4.8,15.939,0.2472,0.2211
01/11/2013,19:14:49,10.590,62.100,3.6,14.745,0.2465,0.2189
01/11/2013,20:14:50,8.070,77.600,4.4,13.497,0.2458,0.2182
01/11/2013,21:14:51,5.488,80.300,2.4,12.292,0.2458,0.2175
01/11/2013,22:14:52,6.560,81.500,3.6,11.248,0.2443,0.2167
01/11/2013,23:14:53,6.230,77.900,2.7,10.565,0.2443,0.2160
02/11/2013,00:14:54,7.469,62.000,0.7,10.026,0.2443,0.2160
02/11/2013,01:14:55,6.813,57.600,-1.0,9.608,0.2443,0.2153
02/11/2013,02:14:56,6.585,60.600,-0.5,9.188,0.2443,0.2153
02/11/2013,03:14:57,6.408,62.300,-0.3,8.841,0.2443,0.2146
02/11/2013,04:14:58,6.560,60.800,-0.5,8.543,0.2436,0.2146
02/11/2013,05:14:59,7.242,55.300,-1.1,8.295,0.2436,0.2138
02/11/2013,06:15:00,7.242,53.300,-1.6,8.145,0.2436,0.2138
02/11/2013,07:15:01,9.731,52.300,0.4,8.045,0.2436,0.2131
02/11/2013,08:15:02,9.657,51.700,0.2,8.295,0.2429,0.2131
02/11/2013,09:15:03,10.663,53.100,1.5,8.693,0.2429,0.2131
02/11/2013,10:15:04,13.546,51.700,3.8,9.188,0.2429,0.2131
02/11/2013,11:15:05,17.034,44.900,5.0,10.247,0.2422,0.2124
02/11/2013,12:15:06,17.225,39.600,3.4,12.896,0.2414,0.2116
02/11/2013,13:15:07,19.413,36.500,4.2,14.577,0.2407,0.2109
02/11/2013,14:15:08,20.936,33.700,4.4,15.557,0.2407,0.2109
02/11/2013,15:15:09,20.817,36.200,5.3,16.463,0.2407,0.2102
02/11/2013,16:15:10,19.817,37.700,5.0,16.868,0.2400,0.2087
02/11/2013,17:15:11,18.509,40.600,4.9,16.487,0.2392,0.2066
