"Date","Time, GMT+11:00","Temp, °C (LGR S/N: 9832561, SEN S/N: 9818218, LBL: Ambient)","RH, % (LGR S/N: 9832561, SEN S/N: 9818218)","Water Content, m³/m³ (LGR S/N: 9832561, SEN S/N: 9833758, LBL: 5cmBG)","Water Content, m³/m³ (LGR S/N: 9832561, SEN S/N: 9833760, LBL: 10cmBG)","Temp, °C (LGR S/N: 9832561, SEN S/N: -1)","DewPt, °C (LGR S/N: 9832561, SEN S/N: 9818218)"
21/11/16,16:41:10,21.318,56.700,0.1412,0.2436,17.677,12.4
21/11/16,17:41:11,20.007,56.600,0.1383,0.2429,16.534,11.1
21/11/16,18:41:12,17.082,60.500,0.1354,0.2429,15.676,9.4
21/11/16,19:41:13,14.074,70.100,0.1332,0.2422,14.601,8.7
21/11/16,20:41:14,13.425,76.400,0.1318,0.2422,13.954,9.4
21/11/16,21:41:15,14.457,65.600,0.1303,0.2422,14.002,8.1
21/11/16,22:41:16,14.505,57.000,0.1288,0.2422,13.906,6.1
21/11/16,23:41:17,13.690,61.100,0.1281,0.2422,13.137,6.3
22/11/16,00:41:18,13.257,64.100,0.1274,0.2422,12.847,6.6
22/11/16,01:41:19,13.353,59.600,0.1267,0.2422,12.678,5.7
22/11/16,02:41:20,12.871,57.900,0.1259,0.2414,12.268,4.8
22/11/16,03:41:21,12.147,63.800,0.1259,0.2414,12.074,5.5
22/11/16,04:41:22,11.637,65.000,0.1252,0.2414,11.807,5.3
22/11/16,05:41:23,11.613,68.500,0.1252,0.2414,11.686,6.0
22/11/16,06:41:24,11.321,73.400,0.1245,0.2414,11.662,6.7
22/11/16,07:41:25,11.078,79.800,0.1245,0.2414,11.734,7.7
22/11/16,08:41:26,11.565,92.000,0.1245,0.2407,11.759,10.3
22/11/16,09:41:27,13.618,92.000,0.1252,0.2407,12.243,12.4
22/11/16,10:41:28,13.305,90.300,0.1267,0.2407,13.305,11.8
