"Date","Time, GMT+11:00","Rain, mm (SEN S/N: 668163)","Temp, ¡C (SEN S/N: 684635)","Temp, ¡C (SEN S/N: 684636)","Temp, ¡C (SEN S/N: 684637)","Temp, ¡C (SEN S/N: 684638)","Temp, ¡C (SEN S/N: 699195)","RH, % (SEN S/N: 699195)","DewPt, ¡C (SEN S/N: 699195)","PAR, uE (SEN S/N: 700672)"
16-01-2005,00:18:50,0.00,13.546,13.016,13.449,11.248,12.16,1.00,-42.5,1.2
16-01-2005,01:18:50,0.25,13.377,12.944,13.257,10.638,11.38,1.00,-43.0,1.2
16-01-2005,02:18:50,0.51,13.233,12.896,13.064,10.296,10.21,1.25,-41.7,1.2
16-01-2005,03:18:50,0.51,13.088,12.799,12.871,9.089,8.23,1.00,-44.9,1.2
16-01-2005,04:18:50,0.51,12.968,12.727,12.630,8.070,7.83,1.00,-45.2,1.2
16-01-2005,05:18:50,1.78,12.799,12.654,12.340,7.594,7.43,1.00,-45.4,1.2
16-01-2005,06:18:50,1.27,12.606,12.558,12.001,7.318,6.62,17.75,-16.2,1.2
16-01-2005,07:18:50,0.00,12.364,12.437,11.613,7.619,6.22,22.25,-13.8,11.2
16-01-2005,08:18:50,0.00,12.147,12.316,11.370,8.295,6.22,25.75,-12.0,66.2
16-01-2005,09:18:50,0.00,11.953,12.195,11.200,9.903,6.62,24.75,-12.1,231.2
16-01-2005,10:18:50,0.00,11.807,12.050,11.175,12.485,7.83,8.25,-24.0,463.7
16-01-2005,11:18:50,0.00,11.734,11.953,11.394,17.249,9.03,1.25,-42.4,1048.7
16-01-2005,12:18:50,0.00,11.783,11.856,11.929,22.872,10.21,1.00,-43.7,1491.2
16-01-2005,13:18:50,0.00,12.001,11.832,12.823,24.195,10.21,1.00,-43.7,1486.2
16-01-2005,14:18:50,0.00,12.364,11.856,13.642,26.940,10.99,1.00,-43.2,1648.7
16-01-2005,15:18:50,0.00,12.751,11.953,14.337,24.895,10.21,1.00,-43.7,1286.2
16-01-2005,16:18:50,0.00,13.112,12.074,14.697,21.819,10.21,1.00,-43.7,998.7
16-01-2005,17:18:50,0.00,13.353,12.219,14.721,20.722,10.99,1.00,-43.2,948.7
16-01-2005,18:18:50,0.00,13.497,12.364,14.649,17.701,10.21,1.00,-43.7,593.7
16-01-2005,19:18:50,0.00,13.546,12.461,14.481,15.342,9.03,10.75,-20.1,508.7
16-01-2005,20:18:50,0.00,13.546,12.558,14.194,12.001,7.03,27.25,-10.6,103.7
16-01-2005,21:18:50,0.00,13.449,12.606,13.786,10.492,6.62,31.25,-9.2,3.7
16-01-2005,22:18:50,0.00,13.281,12.606,13.305,8.742,5.81,30.25,-10.3,1.2
16-01-2005,23:18:50,0.00,13.088,12.582,12.823,8.593,4.57,31.75,-10.8,1.2
17-01-2005,00:18:50,0.00,12.847,12.534,12.437,6.509,3.74,29.75,-12.3,1.2
17-01-2005,01:18:50,0.00,12.630,12.461,12.001,6.458,2.89,29.25,-13.3,1.2
17-01-2005,02:18:50,0.00,12.389,12.364,11.589,6.636,2.03,28.75,-14.2,1.2
17-01-2005,03:18:50,0.00,12.147,12.243,11.273,6.687,2.03,22.25,-17.3,1.2
17-01-2005,04:18:50,0.00,11.929,12.122,11.029,5.385,-0.16,22.75,-18.9,1.2
17-01-2005,05:18:50,0.00,11.734,12.001,10.761,3.036,1.60,1.00,-49.0,1.2
17-01-2005,06:18:50,0.00,11.516,11.880,10.345,2.209,2.03,1.00,-48.8,3.7
17-01-2005,07:18:50,0.00,11.248,11.734,9.928,2.610,0.73,7.25,-30.8,213.7
17-01-2005,08:18:50,0.00,11.005,11.589,9.608,4.480,6.62,1.00,-45.9,658.7
17-01-2005,09:18:50,0.00,10.810,11.419,9.805,10.051,10.60,1.00,-43.5,1108.7
17-01-2005,10:18:50,0.00,10.834,11.297,10.687,16.939,11.38,1.00,-43.0,1508.7
