"Date","Time, GMT+11:00","Water Content, m?/m? (SEN S/N: 9833752, LBL: 10cmBG)"
10-01-2013,20:16:50,0.0657
10-01-2013,21:16:51,0.0642
10-01-2013,22:16:52,0.0642
10-01-2013,23:16:53,0.0642
11-01-2013,00:16:54,0.0642
11-01-2013,01:16:55,0.0642
11-01-2013,02:16:56,0.0642
11-01-2013,03:16:57,0.0642
11-01-2013,04:16:58,0.0642
11-01-2013,05:16:59,0.0642
11-01-2013,06:17:00,0.0642
11-01-2013,07:17:01,0.0642
11-01-2013,08:17:02,0.0642
11-01-2013,09:17:03,0.0649
11-01-2013,10:17:04,0.0657
11-01-2013,11:17:05,0.0664
11-01-2013,12:17:06,0.0671
11-01-2013,13:17:07,0.0678
11-01-2013,14:17:08,0.0678
11-01-2013,15:17:09,0.0678
11-01-2013,16:17:10,0.0671
11-01-2013,17:17:11,0.0664
11-01-2013,18:17:12,0.0649
11-01-2013,19:17:13,0.0635
11-01-2013,20:17:14,0.0628
11-01-2013,21:17:15,0.0628
11-01-2013,22:17:16,0.0628
11-01-2013,23:17:17,0.0628
12-01-2013,00:17:18,0.0620
12-01-2013,01:17:19,0.0620
12-01-2013,02:17:20,0.0620
12-01-2013,03:17:21,0.0620
12-01-2013,04:17:22,0.0620
12-01-2013,05:17:23,0.0620
12-01-2013,06:17:24,0.0620
12-01-2013,07:17:25,0.0620
12-01-2013,08:17:26,0.0628
12-01-2013,09:17:27,0.0628
12-01-2013,10:17:28,0.0635
12-01-2013,11:17:29,0.0635
12-01-2013,12:17:30,0.0642
12-01-2013,13:17:31,0.0642
12-01-2013,14:17:32,0.0628
12-01-2013,15:17:33,0.0620
12-01-2013,16:17:34,0.0613
12-01-2013,17:17:35,0.0613
12-01-2013,18:17:36,0.0613
12-01-2013,19:17:37,0.0606
12-01-2013,20:17:38,0.0606
12-01-2013,21:17:39,0.0606
12-01-2013,22:17:40,0.0606
12-01-2013,23:17:41,0.0598
13-01-2013,00:17:42,0.0606
13-01-2013,01:17:43,0.0606
13-01-2013,02:17:44,0.0606
13-01-2013,03:17:45,0.0606
13-01-2013,04:17:46,0.0613
13-01-2013,05:17:47,0.0620
13-01-2013,06:17:48,0.0620
13-01-2013,07:17:49,0.0628
13-01-2013,08:17:50,0.0635
13-01-2013,09:17:51,0.0635
13-01-2013,10:17:52,0.0657
13-01-2013,11:17:53,0.0707
13-01-2013,12:17:54,0.0867
