SITE,REP,DATE,HOUR,TEMP,
PRO1,1,13/11/11,9,16.383,
PRO1,1,13/11/11,10,19.201,
PRO1,1,13/11/11,11,23.017,
PRO1,1,13/11/11,12,21.516,
PRO1,1,13/11/11,13,22.58,
PRO1,1,13/11/11,14,23.518,
PRO1,1,13/11/11,15,22.517,
PRO1,1,13/11/11,16,17.573,
PRO1,1,13/11/11,17,15.757,
PRO1,1,13/11/11,18,9.863,
PRO1,1,13/11/11,19,8.482,
PRO1,1,13/11/11,20,8.168,
PRO1,1,13/11/11,21,7.603,
PRO1,1,13/11/11,22,6.913,
PRO1,1,13/11/11,23,7.478,
PRO1,1,14/11/11,0,8.357,
PRO1,1,14/11/11,1,7.98,
PRO1,1,14/11/11,2,7.98,
PRO1,1,14/11/11,3,7.98,
PRO1,1,14/11/11,4,8.733,
PRO1,1,14/11/11,5,8.859,
PRO1,1,14/11/11,6,9.486,
PRO1,1,14/11/11,7,11.494,
PRO1,1,14/11/11,8,15.945,
PRO1,1,14/11/11,9,16.947,
PRO1,1,14/11/11,10,18.137,
PRO1,1,14/11/11,11,20.578,
PRO1,1,14/11/11,12,19.639,
PRO1,1,14/11/11,13,21.829,
PRO1,1,14/11/11,14,21.203,
PRO1,1,14/11/11,15,21.016,
PRO1,1,14/11/11,16,21.329,
PRO1,1,14/11/11,17,18.638,
PRO1,1,14/11/11,18,12.435,
PRO1,1,14/11/11,19,11.055,
PRO1,1,14/11/11,20,9.047,
PRO1,1,14/11/11,21,8.984,
PRO1,1,14/11/11,22,7.666,
PRO1,1,14/11/11,23,7.352,
PRO1,1,15/11/11,0,7.164,
PRO1,1,15/11/11,1,6.913,
PRO1,1,15/11/11,2,6.913,
PRO1,1,15/11/11,3,6.285,
PRO1,1,15/11/11,4,6.724,
PRO1,1,15/11/11,5,6.913,
PRO1,1,15/11/11,6,7.038,
PRO1,1,15/11/11,7,8.984,
PRO1,1,15/11/11,8,14.566,
PRO1,1,15/11/11,9,17.824,
PRO1,1,15/11/11,10,19.389,
PRO1,1,15/11/11,11,19.889,
PRO1,1,15/11/11,12,20.202,
PRO1,1,15/11/11,13,21.078,
PRO1,1,15/11/11,14,21.641,
PRO1,1,15/11/11,15,21.892,
PRO1,1,15/11/11,16,23.142,
PRO1,1,15/11/11,17,21.203,
PRO1,1,15/11/11,18,20.015,
PRO1,1,15/11/11,19,16.508,
PRO1,1,15/11/11,20,10.114,
PRO1,1,15/11/11,21,9.926,
PRO1,1,15/11/11,22,9.988,
PRO1,1,15/11/11,23,10.741,
PRO1,1,16/11/11,0,11.118,
PRO1,1,16/11/11,1,10.051,
PRO1,1,16/11/11,2,10.177,
PRO1,1,16/11/11,3,10.49,
PRO1,1,16/11/11,4,8.043,
PRO1,1,16/11/11,5,6.913,
PRO1,1,16/11/11,6,6.85,
PRO1,1,16/11/11,7,6.85,
PRO1,1,16/11/11,8,7.415,
PRO1,1,16/11/11,9,7.666,
PRO1,1,16/11/11,10,9.173,
PRO1,1,16/11/11,11,14.127,
PRO1,1,16/11/11,12,15.694,
PRO1,1,16/11/11,13,19.138,
PRO1,1,16/11/11,14,19.451,
PRO1,1,16/11/11,15,14.378,
PRO1,1,16/11/11,16,17.949,
PRO1,1,16/11/11,17,21.016,
PRO1,1,16/11/11,18,19.764,
PRO1,1,16/11/11,19,9.988,
PRO1,1,16/11/11,20,6.661,
PRO1,1,16/11/11,21,3.709,
PRO1,1,16/11/11,22,0.565,
PRO1,1,16/11/11,23,-0.819,
PRO1,1,17/11/11,0,0.376,
PRO1,1,17/11/11,1,0.376,
PRO1,1,17/11/11,2,3.583,
PRO1,1,17/11/11,3,4.337,
PRO1,1,17/11/11,4,4.84,
PRO1,1,17/11/11,5,3.269,
PRO1,1,17/11/11,6,4.903,
PRO1,1,17/11/11,7,7.854,
PRO1,1,17/11/11,8,12.936,
PRO1,1,17/11/11,9,18.011,
PRO1,1,17/11/11,10,20.015,
PRO1,1,17/11/11,11,21.329,
